Player,Full name,Wyscout id,Team,Team within selected timeframe,Team logo,Competition,Position,Primary position,"Primary position, %",Secondary position,"Secondary position, %",Third position,"Third position, %",Age,Birthday,Market value,Contract expires,Matches played,Minutes played,Goals,xG,Assists,xA,Duels per 90,"Duels won, %",Birth country,Passport country,Foot,Height,Weight,On loan,Successful defensive actions per 90,Defensive duels per 90,"Defensive duels won, %",Aerial duels per 90,"Aerial duels won, %",Sliding tackles per 90,PAdj Sliding tackles,Shots blocked per 90,Interceptions per 90,PAdj Interceptions,Fouls per 90,Yellow cards,Yellow cards per 90,Red cards,Red cards per 90,Successful attacking actions per 90,Goals per 90,Non-penalty goals,Non-penalty goals per 90,xG per 90,Head goals,Head goals per 90,Shots,Shots per 90,"Shots on target, %","Goal conversion, %",Assists per 90,Crosses per 90,"Accurate crosses, %",Crosses from left flank per 90,"Accurate crosses from left flank, %",Crosses from right flank per 90,"Accurate crosses from right flank, %",Crosses to goalie box per 90,Dribbles per 90,"Successful dribbles, %",Offensive duels per 90,"Offensive duels won, %",Touches in box per 90,Progressive runs per 90,Accelerations per 90,Received passes per 90,Received long passes per 90,Fouls suffered per 90,Passes per 90,"Accurate passes, %",Forward passes per 90,"Accurate forward passes, %",Back passes per 90,"Accurate back passes, %",Short / medium passes per 90,"Accurate short / medium passes, %",Long passes per 90,"Accurate long passes, %","Average pass length, m","Average long pass length, m",xA per 90,Shot assists per 90,Second assists per 90,Third assists per 90,Smart passes per 90,"Accurate smart passes, %",Key passes per 90,Passes to final third per 90,"Accurate passes to final third, %",Passes to penalty area per 90,"Accurate passes to penalty area, %",Through passes per 90,"Accurate through passes, %",Deep completions per 90,Deep completed crosses per 90,Progressive passes per 90,"Accurate progressive passes, %","Accurate vertical passes, %",Vertical passes per 90,Conceded goals,Conceded goals per 90,Shots against,Shots against per 90,Clean sheets,"Save rate, %",xG against,xG against per 90,Prevented goals,Prevented goals per 90,Back passes received as GK per 90,Exits per 90,Aerial duels per 90.1,Free kicks per 90,Direct free kicks per 90,"Direct free kicks on target, %",Corners per 90,Penalties taken,"Penalty conversion, %",Temporada
L. Rodríguez,Lucas Guzmán Rodríguez Cardoso,352999,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"DMF, LDMF, RCMF",DMF,44,LDMF,22,RCMF,15,31.0,1993-05-08,475000,2024-12-31,35,3125,2,1.28,0,0.42,20.85,52.07,Uruguay,['Uruguay'],right,170,62,False,14.11,9.94,65.51,2.48,34.88,0.32,0.46,0.52,7.29,10.47,1.73,10,0.29,1,0.03,1.18,0.06,2,0.06,0.04,0,0.0,31,0.89,12.9,6.452,0.0,0.49,52.94,0.26,55.56,0.2,42.86,0.03,1.21,64.29,5.5,41.36,0.37,0.81,0.09,22.98,0.26,1.21,41.36,78.13,17.77,68.23,3.46,89.17,34.7,84.07,6.19,46.98,19.84,33.87,0.01,0.35,0.03,0.0,0.06,50.0,0.03,8.27,67.25,1.15,47.5,0.32,18.18,0.23,0.23,8.27,66.55,87.29,15.41,0,,0,,0,0.0,0.0,0.0,,,0.32,,2.48,0.03,0.0,0.0,0.06,0,0.0,2024
A. Macelli,Alejo Agustín Macelli,-169799,Cerro,Cerro,https://cdn5.wyscout.com/photos/team/public/986_120x120.png,Primera División,"RCMF, RCB, DMF",RCMF,32,RCB,32,DMF,12,26.0,1998-03-02,0,,33,3122,2,1.82,2,0.46,19.14,58.28,Argentina,['Argentina'],right,180,70,False,12.11,7.84,68.38,6.66,51.95,0.89,1.09,0.63,5.85,7.15,1.47,7,0.2,1,0.03,0.61,0.06,2,0.06,0.05,1,0.03,21,0.61,42.86,9.524,0.06,0.29,30.0,0.0,0.0,0.26,22.22,0.06,0.4,57.14,2.1,50.68,0.49,0.26,0.0,11.44,0.14,0.98,26.15,74.86,12.02,64.27,2.19,89.47,20.9,80.41,4.96,54.07,21.28,33.11,0.01,0.12,0.0,0.03,0.06,50.0,0.09,5.48,65.79,0.78,18.52,0.14,20.0,0.14,0.06,6.66,61.47,86.38,9.31,0,,0,,0,0.0,0.0,0.0,,,0.4,,6.66,0.03,0.0,0.0,0.0,0,0.0,2024
S. Romero,Santiago Ernesto Romero Fernández,143210,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,"DMF, RCMF, RDMF",DMF,33,RCMF,20,RDMF,15,34.0,1990-02-15,200000,2024-12-31,35,3113,0,1.59,1,0.55,19.69,52.72,Uruguay,['Uruguay'],right,174,71,False,10.15,7.92,66.06,4.51,49.36,0.29,0.39,0.23,4.63,6.18,1.36,6,0.17,1,0.03,1.01,0.0,0,0.0,0.05,0,0.0,20,0.58,5.0,0.0,0.03,0.75,50.0,0.14,60.0,0.58,45.0,0.12,1.1,52.63,4.8,36.75,0.55,0.43,0.09,17.87,0.46,1.01,34.03,77.74,13.39,65.87,4.05,93.57,28.94,82.12,4.37,52.98,18.61,33.72,0.02,0.32,0.06,0.03,0.09,33.33,0.03,5.96,67.96,1.56,42.59,0.46,43.75,0.4,0.49,7.23,62.4,87.56,11.62,0,,0,,0,0.0,0.0,0.0,,,0.26,,4.51,0.03,0.0,0.0,0.0,0,0.0,2024
K. Amaro,Kevin Johan Amaro Viega,-356133,Liverpool,Liverpool,https://cdn5.wyscout.com/photos/team/public/977_120x120.png,Primera División,"RB, RW",RB,55,RW,15,,0,20.0,2004-03-03,0,2028-10-29,35,3058,1,1.61,4,3.06,19.4,50.08,Uruguay,['Uruguay'],right,177,72,False,8.12,7.53,64.84,1.91,36.92,0.03,0.05,0.35,3.21,4.94,0.97,4,0.12,1,0.03,3.24,0.03,1,0.03,0.05,0,0.0,26,0.77,34.62,3.846,0.12,2.97,33.66,0.09,33.33,2.88,33.67,0.32,3.27,58.56,8.21,43.73,1.41,1.18,0.26,17.69,2.56,1.38,26.72,75.33,8.59,64.73,4.77,96.3,21.46,84.64,2.44,40.96,19.73,33.47,0.09,0.91,0.03,0.0,0.06,100.0,0.41,2.59,70.45,2.5,48.24,0.06,0.0,0.38,1.06,5.83,69.19,74.48,8.53,0,,0,,0,0.0,0.0,0.0,,,0.12,,1.91,0.0,0.0,0.0,0.03,0,0.0,2024
M. Noble,Alis Maxiliano Noble Sequeira,323109,Deportivo Maldonado,Deportivo Maldonado,https://cdn5.wyscout.com/photos/team/public/1745_120x120.png,Primera División,"RCMF, AMF, RDMF",RCMF,25,AMF,16,RDMF,15,27.0,1997-09-13,350000,2024-12-31,35,3052,4,3.75,1,2.86,19.85,50.97,Uruguay,['Uruguay'],right,180,72,False,9.29,6.75,66.38,2.45,44.58,0.68,0.93,0.12,4.13,5.69,1.06,11,0.32,1,0.03,2.8,0.12,3,0.09,0.11,1,0.03,44,1.3,31.82,9.091,0.03,1.15,23.08,0.38,38.46,0.74,16.0,0.15,3.72,53.17,8.67,44.22,1.3,2.06,0.77,27.22,1.0,1.6800000000000002,42.55,77.69,15.33,66.54,7.4,92.83,36.57,82.58,4.9,53.61,18.26,36.06,0.08,0.97,0.03,0.0,0.38,38.46,0.29,8.46,65.85,2.36,31.25,0.77,46.15,0.8300000000000001,0.21,7.96,75.93,82.39,12.56,0,,0,,0,0.0,0.0,0.0,,,0.41,,2.45,0.24,0.0,0.0,0.74,1,100.0,2024
J. Álvarez,José Ignacio Álvarez Medero,322472,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,LB,LB,69,,0,,0,29.0,1994-12-27,450000,2025-12-31,34,3048,2,1.87,2,2.91,14.11,54.39,Uruguay,['Uruguay'],left,173,65,False,9.66,7.0,66.67,1.0,47.06,0.59,0.95,0.15,4.4,7.05,0.65,4,0.12,0,0.0,2.54,0.06,2,0.06,0.06,0,0.0,18,0.53,38.89,11.111,0.06,3.87,29.77,3.81,30.23,0.06,0.0,0.74,1.98,55.22,4.31,39.73,1.27,1.86,0.5,26.69,1.86,0.32,39.01,71.92,14.73,61.32,4.78,94.44,28.88,84.76,6.44,39.45,21.98,39.55,0.09,0.71,0.09,0.0,0.15,60.0,0.3,5.73,54.64,4.05,31.39,0.5,35.29,0.5,1.09,9.74,68.18,75.42,13.94,0,,0,,0,0.0,0.0,0.0,,,0.32,,1.0,0.44,0.03,0.0,0.38,0,0.0,2024
L. Mejía,Luis Ricardo Mejía Cajar,90581,Nacional,Nacional,https://cdn5.wyscout.com/photos/team/public/554_120x120.png,Primera División,GK,GK,100,,0,,0,33.0,1991-03-16,400000,2024-12-31,31,3036,0,0.0,0,0.0,0.62,80.95,Panama,"['Panama', 'Uruguay']",left,193,81,False,2.02,0.15,60.0,0.21,85.71,0.03,0.05,0.0,1.9,3.0,0.06,4,0.12,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,100.0,0.0,0.0,0.03,8.27,0.09,0.12,15.12,92.35,7.97,86.25,0.0,0.0,11.98,99.26,3.11,66.67,27.94,49.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.04,65.71,0.06,50.0,0.03,100.0,0.03,0.0,2.16,73.97,99.09,6.49,27,0.8,84,2.49,15,67.86,22.11,0.66,-4.89,-0.145,0.0,0.8,0.21,,,,0.0,0,0.0,2024
E. Ancheta,Emiliano Ancheta Da Rosa,-84106,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,"RB, RWB",RB,63,RWB,12,,0,25.0,1999-06-09,550000,2024-12-31,32,3017,0,1.07,2,2.66,22.37,52.93,Uruguay,['Uruguay'],right,179,68,False,11.4,8.86,66.67,3.85,51.16,0.09,0.12,0.06,5.4,7.32,0.87,7,0.21,0,0.0,2.63,0.0,0,0.0,0.03,0,0.0,32,0.95,21.88,0.0,0.06,3.43,27.83,0.27,33.33,3.16,27.36,0.78,2.71,52.75,7.34,40.65,0.87,2.33,0.48,20.55,2.8,1.31,33.92,65.26,16.2,58.93,3.37,89.38,25.42,74.18,5.25,44.32,20.78,34.71,0.08,0.48,0.0,0.0,0.03,100.0,0.3,5.79,61.34,3.37,38.94,0.33,36.36,0.5700000000000001,1.13,9.13,66.01,67.1,9.16,0,,0,,0,0.0,0.0,0.0,,,0.06,,3.85,0.21,0.0,0.0,0.09,0,0.0,2024
D. Nandín,Dylan Alexander Nandín Berrutti,-241809,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,CF,CF,92,,0,,0,22.0,2002-02-28,550000,2026-12-31,34,2992,11,12.69,2,1.92,27.07,32.67,Uruguay,['Uruguay'],right,186,78,False,3.28,3.46,57.39,7.49,30.12,0.15,0.22,0.18,1.14,1.67,1.44,5,0.15,0,0.0,2.02,0.33,9,0.27,0.38,1,0.03,54,1.62,46.3,20.37,0.06,0.48,25.0,0.12,0.0,0.3,30.0,0.0,2.44,41.98,11.58,27.01,3.07,0.72,0.15,8.18,1.99,1.14,13.69,72.53,2.83,57.45,3.82,85.83,12.75,75.24,0.5700000000000001,36.84,14.6,15.23,0.06,0.48,0.0,0.03,0.24,50.0,0.27,1.29,58.14,0.66,54.55,0.33,36.36,0.5700000000000001,0.09,1.05,62.86,65.35,3.82,0,,0,,0,0.0,0.0,0.0,,,0.03,,7.49,0.0,0.0,0.0,0.0,3,66.667,2024
G. Cotugno,Guillermo Gastón Cotugno Lima,329595,Racing,Racing,https://cdn5.wyscout.com/photos/team/public/1320_120x120.png,Primera División,"RB, RCB3",RB,76,RCB3,12,,0,29.0,1995-03-12,800000,2024-12-31,32,2990,2,1.04,2,2.25,13.15,56.75,Uruguay,"['Uruguay', 'Italy']",right,177,75,False,8.22,5.75,73.3,2.83,59.57,0.33,0.48,0.45,3.67,5.36,0.84,6,0.18,0,0.0,1.41,0.06,2,0.06,0.03,0,0.0,12,0.36,33.33,16.667,0.06,2.17,40.28,0.0,0.0,2.14,40.85,0.12,0.48,62.5,2.5,31.33,0.99,0.72,0.15,19.81,1.05,0.42,32.39,75.09,15.08,66.47,2.08,94.2,24.26,83.25,6.05,53.73,22.37,36.3,0.07,0.6000000000000001,0.03,0.03,0.12,100.0,0.33,6.11,71.92,2.32,48.05,0.33,63.64,0.54,0.84,9.39,73.4,84.02,10.93,0,,0,,0,0.0,0.0,0.0,,,0.3,,2.83,0.0,0.0,0.0,0.0,0,0.0,2024
G. de los Santos,Guillermo Gabriel De Los Santos Viana,175650,Defensor Sporting,Defensor Sporting,https://cdn5.wyscout.com/photos/team/public/465_120x120.png,Primera División,"LCB, CB",LCB,73,CB,13,,0,33.0,1991-02-15,300000,2024-12-31,32,2972,5,2.51,1,0.53,12.33,60.44,Uruguay,['Uruguay'],right,181,75,False,8.45,4.12,71.32,4.6,52.63,0.21,0.33,0.39,5.3,8.35,0.55,12,0.36,1,0.03,0.48,0.15,5,0.15,0.08,4,0.12,15,0.45,40.0,33.333,0.03,0.21,85.71,0.09,100.0,0.12,75.0,0.0,0.12,100.0,1.3,55.81,0.51,0.42,0.03,33.55,0.45,0.73,50.33,87.61,20.59,76.32,1.82,95.0,42.37,93.85,7.75,53.52,23.16,41.59,0.02,0.12,0.0,0.0,0.0,0.0,0.03,4.69,50.32,0.94,32.26,0.48,18.75,0.15,0.15,7.93,62.98,96.99,25.13,0,,0,,0,0.0,0.0,0.0,,,1.39,,4.6,0.0,0.0,0.0,0.0,0,0.0,2024
M. Goicoechea,Mauro Daniel Goicoechea Furia,23530,Danubio,Danubio,https://cdn5.wyscout.com/photos/team/public/983_120x120.png,Primera División,GK,GK,100,,0,,0,36.0,1988-03-27,100000,2026-12-31,31,2972,0,0.0,0,0.0,0.73,91.67,Uruguay,"['Uruguay', 'Italy']",right,186,82,False,1.03,0.12,75.0,0.51,94.12,0.0,0.0,0.0,0.94,1.26,0.0,3,0.09,0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,100.0,0.0,0.0,0.0,5.57,0.09,0.24,12.2,87.34,6.54,79.63,0.0,0.0,6.9,97.37,5.24,74.57,34.86,46.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,75.86,0.0,0.0,0.0,0.0,0.0,0.0,4.33,77.62,96.61,5.36,30,0.91,111,3.36,12,72.97,30.31,0.92,0.31,0.009,0.0,1.54,0.51,,,,0.0,0,0.0,2024
